input,output
there is no such thing as a curse in this world!,持っているだけで人を不幸にする呪われた本などというものは存在しないのです
"i'm sorry, but i have to ask.",悪いと思うけど 聞かなきゃいけないの
any good things to you about this.,お前たちを英雄にしたりはしない
now! throw out all the seal tickets!,今だ!ありったけの封印札を 投げつけろ!
and we are paying a cost.,その結果犠牲を払うことになります
i was given an education,教育を受け
i'm starting to feel stupid for agonizing over it.,何か 悩むんが アホらしゅうなって来たわ。
"with furcifer gone, i can put a cloaking spell on her.",俺が隠している魔法を かけることもできる
"this way, please!",帰れ! やだね。
and to the gymnosophist.,裸行者に戻ります
get out!,退散しろ!
"yeah, he wrote one.",初回に プロフィルn書かされませんでした?
"that's the expectation from demographers, going forward.",今後もこの状況は続くと人口統計学者は予想しています
you did the right thing.,良くやってくれた
he's on the run.,逃走中です
no way! seriously?!,まさかの赤ペン先生!
"no, you can't!",う... うん
"yes, sir. listen.",蛭間病院長に聞きなさい!
must have been a really great man.,ほんまの 豪傑じゃったんじゃろうねぇ。
"warehouse? ah, it's alright. really.",倉庫って。 あっ。 大丈夫。 うん。
"but if you show your face here again, i will cut you the fuck in half!",もう一度現れたら 顔を吹っ飛ばす
i got coffee.,コーヒーと
in this mansion?,何だ あれ。 あの屋敷。
the town that the bomb forgot.,忘れられた町・・・
"you got finals, your nyu application is due in what, two weeks?",nyu申請は2週間後だ
the engines have stopped.,エンジンが止まった
so i wrote a computer program a bunch of years ago,そこで何年も前にわたしはtreemakerというプログラムを書き
i want to talk to the 58 patients down here,私はこの58人の患者の話が聞いてみたい―
i'm better than ok.,それ以上にいいぜ
"here. hey, pretty stylish.",はい え~ッ オシャレ~
and anyone who can't give me those two things has no place in my life.,僕はその2つを僕に与えられない人に用はない」
she got a girlfriend who came at a girlfriend's place,彼女 わいは彼女ばおる身でこげん所挨拶に来よっとか
do not act alone.,まっすぐ自分の言葉は曲げねえ。
i have no idea who you are.,あなたの事は 見当もつかない
"ah, yoshikiyo! why?",あっ 義清ではないか。 何故?
"that anybody can edit anything, at any time",誰でも いつでも 何でも編集できるようにしたら
you and,お前も
what if that was a message from erica?,エリカからだったら? なぜ受け取らなかった?
which are the two primary factors,この2つは戦争のきっかけです
the unconscious mind does most of the work.,導いているということです
seems like he was a good man.,良い人だったらしいね
"emma, run!",エマ、走れ!
the rate of death is declining.,死亡率が低下している
"anything i can do, sir?",私は何をすれば?
they look after the engineers working on the darn.,彼らは送水口で働いているの技術者を 守ってる
i don't want my teeth pulled!,いやだ~~ 歯を抜くのはいやだ~~
the mountains of the gods.,山の神々
it is this zeele schneider that embodied it most strongly.,それを 最も強く具現化したのが この ゼーレシュナイダーだ。
see if you can clean him up a little.,象でもとるのか?
she couldn't stick that four months ago.,4カ月前には まだ出来なかったんですよ
know it well kanji drill,えッ? あの... 漢字ドリルじゃ
"i realized that not one, not one of us",しかし私は そこにいた誰一人 同様の危機に対処した
get to the car!,車に行くんだ
a method to raise the delicious melons.,美味しいメロンの育て方
do me a favor and get in the trunk yourself.,自分で トランクに入ってくれ
"really, of course the famous book dracula",ダブリン北部出身の ブラム・ストーカーが書いた
i'm the same way.,俺もだ
she dove in.?,どうなった? 川に飛び込んだ
how did you get naked? what is that!,裸は どうやった? 何なんすか それは!
i don't think so.,そうは思わないわ
probably at my parents'.,多分両親のところ
"the parents of the three young women raped by brent garvey, for example.",例えば ブレント・ガーヴィーに レイプされた 3人の少女の両親のようにね
"on the back of cereal boxes, board games. any place you use ink",シリアルの箱の裏面、ボードゲームなど インクを使うあらゆるもので
"no, but ms. thompson will.",いいえ でも トンプソンさんは多分知ってる
"well, turk did the republic arrive with my spice?",ターク、共和国はスパイスを持って来た?
say that and move forward.,先に進みたいんです
"husehld f my peples, bth at hme and verseas.",国内の あー 人々
i cannot be a swindler unless i can read people's mind.,人の心を読めなきゃ 詐欺師は務まりませんからね
she spent 15 years with the u.n.,国連での15年間は
he didn't tell you?,聞いてないの?
i've heard that too.,同じ意見
why not leave him alone?,ひとり
i am.,はl、
i see.,あぁぁ分かりました
i think she should have been with that man.,姉は その人と一緒に なるべきだったと思ってしまう
"it is now anybody with access to a $1,500 computer",1500ドルのコンピュータを使うことさえできれば、
now then... what should i do?,これは 今のうちに ちゃんと お仕置きしとかんと...。
"hey, shin'ichi...!",≪ねぇ ボウヤ≫ えっ...。
we have something stronger than the five senses,オレたちには五感を超えた 心の目がある!
they used that to get back on another boat.,船外モーターを使って 別のボートで岸に戻ったんでしょう
it's a sonata.,ソナタです。
walter's full of surprises today.,今日一番の驚きだな
leave it to me!,料理? あっ この料理なら任せなさい。
and i'll show you that in real time now,それをリアルタイムで ご覧に入れますが
you ever hear of avoidance behavior?,回避行動の話は聞いたか?
our entire lives revolve around aoi.,生活のすべてが 葵中心にまわってる。
"hey, let's go.",行くぞ
and perhaps saved nike.,ナイキを救ったのです
"ready, barry? over the top.",dh: 準備はいい バリー bf: 頭の上だな
"according to his brother, eugene was a very bright man.",ユージーンは とても聡明な男だった
where did you find that?,どこで見つけた?
the question is why?,でもなぜ貴方と パーカーを容疑者に?
instinct.,本能。
"well, there's always something we can do.",何とかなる
a fast talker.,おしゃべり
"michika, we're not talking about that now.",美知香 今 そんな話してない
ok. mount!,はい。 乗った。
"yes, please. thank you.",お願いします
i have a gift.,そういう力がある
i decided to join the ngo,ngoで働くことにしました
i'm getting there.,まあな
"that's right. so, you can either walk out of here...",その通り ここから歩いて出て行くか
i want to go play outside too.,私もお外で遊びたい
i chilled.,怒りを制御した
i will do it.,真面目にやれ
hello.,ちわ。 こんにちは。
"with various equipment, cameras and microphones",ヘルメットを着けてもらいました
great person.,素晴らしい人です
our pilot.,パイロットだ
are the people ready to proceed?,進行できますか?
my father told me a story,父が 18 世紀の時計職人の
i wonder what we are using our sword for .,何のために 太刀を振るってるのか...。
i think it gives you one.,もう1度チャンスをくれると思う
whwhat is this?!,これは...!
for visitors and humans.,ビジターと人類の
that can't be right.,そんな筈は...
cut it out. i want to stay here.,くくっ...。 う... うう...。
but i can't do that.,でもそれはできない
killing crows in their castle is tough.,城の中のカラスを殺すのは大変だが
"you, this dimwit!",この、ノロマめ!
"can't be, huh?",う~ん
"alright, good.",よし いい
what the hell is going on?,一体どうなってる?
it's my happy place.,そこは幸せな場所
look what you've done.,やだ やだ やだ。 やだ やだ。 待て~!
something radically different.,全く違う雰囲気で奏でる事によって
"all my months of planning, every move i've made.",何ヶ月もの画策や行動が
rita.,リタ
"now, i have to do this, the rest of the thing, like this.",どうにか後始末をしなきゃいけません
look. isabel kronenberger is showing here on saturday.,見てイサベルは目立つここで土曜日に
that she asked the man kurosawa to do this.,それを 自分が 黒沢って男に頼んで
i think we're done here.,じゃ 解いて
fellow delegates.,代表のみなさん
"again, relaxed?",リラックスしてください
you promise me you're coming back!,きっと戻るって
"i mean, i hope so.","""1. アイ・コンタクト"" ""2."
"look. if i had a penis, i'd try it.",ペニスがあったら 私なら試す
all this is the cemetery.,ここは墓場だな
"no, i'm not. it was a prank, dale.",言ったな!
"our target audience, it's not just the producers of terrorism",それはテロの生産者
i didn't know what to do.,私が何をすべきかを知りませんでした。
what? what's okay?,はあ? 何が負け惜しみよ
"even when i change my clothes, i have to blindfold myself!",着替えするのだって
here...,こいつは まいったね。
i'm the one who was totally in the wrong.,悪かったのは 全部 こっちなんだし。
i don't need this shit.,何て事だ!
i i wonder...,捕まえたよ。 ほーら。 ウホホホホホホ...。
"but we have padding, and fantastic shockabsorbing things like sorbothane",しかしパッドや ソルボセインのような 素晴らしい衝撃吸収材のおかげで
"hey, doctor..",ねえ先生
still has much primitive wildlife due to its complex geography and harsh natural environment that are unsuitable for living in.,由于地形复杂 自然环境恶劣 人迹罕至
what did i tell you about knocking?,ノックについて なんて言ったかしら?
he is mariya kyosuke.,真里谷恭介。
and the sketch miyukisan drew.,それから 美由紀さんが描いた似顔絵も。
that's actually probably the most important thing to anyone who's religious,おそらく最も重要な
go on.,先へすすむための
"well, at least you didn't say i was agent 46.",エージェント46なんて 言わないでね
they got an alien k9 unit we're not aware of?,エイリアンも警察犬を? 知らなかったわ
"okay, message received, young fella. you won't get no pushback from me.",手間取らせたりはしませんよ。
in this prison,牢獄ね...。
no. ground it.,奴を逃がすな
you think?,ああ そう?
"forgive me, monsieur gustave. i never meant to betray you.",許してくれ、ムッシュー・グスタフ 決して裏切るつもりは無かった
we also have been serving you with our bones broken,我らも骨折って ご奉公したかいが あったというものにございます。
transformative act.,示唆しています
"blow something up, take someone out.",何かを吹き飛ばして 誰かを連れ出す
"and so, on the left, we were seeing 100,000 polygons.",左側では10万ものポリゴンが見えました
everything in my room was shaking,部屋のあらゆるものが揺れていました
now what... what is that noise?,何だ? あの音は?
still a great night under the stars.,素晴らしい夜だ 星の下で
"eden, i need a med unit at the 49th junction.",エデン第49ジャンクションに医学班を
you knew that already.,あなたはもうわかってるだろ。
and are responsible for much of whats gone on on our planet.,この惑星で起こる様々な物事の原因となっていました
perhaps if you had your husband call me.,. ご主人に電話を頂ければ
i've become rather concerned about,インドに対する過大評価である
"fuck, come on.",クソ
increasing evidence is that being bilingual,バイリンガルは認知能力に よい影響があるという ―
bigg bunny is never gonna find the aurelia without me.,俺が いなきゃ 宝は見つけられない
hey third generation is serious at that age.,おい 三代目様だって 大変なんだぞ あのお歳で。
"i worked really, really hard to distribute it everywhere in brazil.",本当に一生懸命になって ブラジル中で売ろうとしました
never a dull moment with you guys.,いつも退屈しないな
now the problem with this model of censorship,webサイトを特定して
"come on, people, let's get to it",♪ みんなで歌おうぜ
give me the phone.,電話貸せ 電話
don't what me!,頼む! オレを鍛えてくれ!
i special summon fallen cone!,特殊召喚!
i'm tired. later.,疲れた また後でね
he's unexpectedly serious.,あれで 案外 本気だったんだよ。
and the bank where elaine works.,それに銀行は イレインの勤務先だ
krull the warrior king.,クルール 戦士王クルール
tbl: can you say now?,ティム: 「今すぐに!」
can you stop 'em from harming him?,でも守ってやってほしいの
she's very beautiful.,きれいな人ね
"excuse me, excuse me.",おかまいなく
when you arrived at the golf course.,連絡しようと 思ってたんですけどね。
oh we meet two days in a row.,昨日の今日で また会うとはね。
"is it a bird, is it a plane?",空中では鳥や飛行機のように
to fund the whole thing,運営権を得ることにしたら どうでしょう
i need to disappear.,俺は姿を消さないと
"cut the chatter, ahsoka.",これは難しいくなるね アソーカ静にして
"detonation in 2 minutes, 30 seconds, mark.",爆発まで2分30秒
being fresh like the fresh prince,フレッシュ・プリンスのように勝手気まま
do you know my sister? yes.,姉をご存じなんですか? ええ
did the marriage meeting actually go well? it did.,うまくいったんですか? そうなんだよ
adam galloway's coming down from new york.,アダムが来る
set of stomach organs,胃でろ過して
"that this is a problem, but we've had to suffer fake fixes.",これが問題だとわかってなお 偽りの対策でごまかされていることです
"i'm taking care of her, not you.",俺が彼女の世話をしてる あなたじゃなく
until you're able to recognize me clearly.,そなたが わたしを しっかと 認識できるようになるまでだ。
"gunpowder, treason and plot!",火薬 反逆罪と陰謀
i would like to grant it if it is mr. mikage's wishes,それがミカゲさんの望みなら 私は叶えてあげたいと思う
but why won't he say anything when he almost messed up the important event?,大切なイベントをめちゃくちゃにしかけたのになぜ何も言わないんだ?
here's something good.,いいものがあるぞ
"indeed, if shiranami returns to the village, we could...",それができたなら きっと俺たちは... 仲間だ。
i can not imagine myself like that i guess i am accustomed to one person,そういう自分が想像できない ず~っと一人に慣れてるからかな
please let me eat it.,よろしく伝えといてください
the first is cyanobacteria.,まずは海や淡水湖に住む藍藻類でした
"my new idea is we could go a little bit out of the way and spend the night in vegas and still break the trip up, for the most part, but also have, like, one more day of...",違う道を通って ベガスに行くか こっちでも大丈夫
there's plot holes.,話に矛盾が
they want to know how much exercise your dog is getting.,運動量を知りたいでしょうし
probably not. probably.,たぶんそれはない
"thank you, everyone.",ありがとねー
that's good.,顔色も いいですし。
"the project's completed, right?",あの計画は 完成してたんだ
brought it to s.h.i.e.l.d.'s attention.,それで「S. H. I.
i really don't know.,知らないわ、本当に知らないの
chuck.,チャック
but maybe caputo will let you make a call later.,でもカプートに頼めばかけさせてくれるよ
"not on my watch, pal.",「どうなるか覚悟しろよ」
why would he do that?,なぜ彼が あんなマネを?
what! what!,うわあ! あっ...
thirtytwo.,32
where's the boy... the one that lives here?,ここに住んでた少年は?
you do...,はいできた
"everybody, hold on for one minute.",待ってくれ
we were farmers and they slaughtered us.,俺達は農民なのに殺した
i want to get to the truth of this.,間違いないんです。
this was actually just taken last year.,実はこの写真は去年のものです
"well, then you'll just have to finish what anne marie started.",君がアンヌ・マリーがやった罪を 終わらせてくれ
"but still gayla went on, and finally she succeeded",それでもゲイラはあきらめず とうとう ―
i can't move right now because i'm doing something really important.,今すごく大事な会議中で動けないの
we'll never make it under an hour.,1時間未満では間に合わない
it's 7cfi06x.,7cfi06xよ
"where you work, where you play.",どこで働き どこで遊んでいるかも
"what? just don't follow me around all night, okay?",俺に付いてくるなよ
"do you realise, you got laid of because of restructuring just like your father?",親子二代にわたって リストラされちゃってんだよね。
then anna gets her hands on a message that means nothing to her.,アンナには知らせない 真っ先にアンナに届けたら?
now my handkerchief too,もう! ハンカチも...。
well?,し... 失礼
"alec, i've got prints with no id.",アレク 不明な指紋があるわ
"is that, because they're mainly looking",利用者が何を最初に
the thing about perfection is that it's unknowable.,完璧かどうかは 我々が決めることじゃない
onetoamillion costbenefit ratio.,そこから百万倍の幸福を得ることはできない
where's the bomb?,爆弾はどこだ?
"agent dunham, take a look at this.",ダンハム捜査官これを
you know how the puzzle works. get us out!,あなたはパズルの仕組みがわかるのよね 私達をここから出して
where did you find him?,どこで見つけた?
"thanks, smokey.",ありがとう スモーキー
than what people pay now,小さな魚を捕まえるために
"however, even so...",でも それでも
"hey, timmy, did you know jack who worked here? mmhmm. what can you tell me about him?",ティミー ここで働いてた ジャックは知ってるか? 彼について話せる事は?
they said she has our patient registration card.,受け入れなんて 無理だ。 それが うちの診察券を➡
my injury is my fault. i'm not so weak that i have to be protected by you!,調子にのるなよ! 自分のケガは 自分のミスだ!
"attaboy, tom. you're active!",元気だな おいトム!
that's my son. bobby pena.,あれは私の息子の ボビー・ペナです
"yes, i was told about that.",ああ、そのことは聞いた
gate opening!,開門! はぁ!? 門が開きはじめた。
"wow, todd's money seems to be funding our investigation.",この研究所に提供してる 資金は役に立ってるわ
you know anything ? can you help me ?,ほかに何か知ってる?
"that's not possible, if that is the case",それはないですよ だったら無理心中事件に
of women and men,男女間に違いがあることが
you know that it is your heart.,ここが心臓
i can't disclose patient information.,患者の情報は漏らせないの
"saoirse, get down.",シアーシャ、 伏せろ。
"we stroll out, slow and steady. just like we belong.",ゆっくり前へ進んでいく.
isn't there a better way?,ちょっと 他に何かないの?いい方法
"and meanwhile, we'll take our little threemonthold baby",そして 私たちの3ヶ月のかわいい車も
am i remembering...,僕は レベル2の アーミーモスキート ブラッド・フォース3体で
"ok. it's not looking great, but we will get through this, lissa, we always do.",この状況は不利だわ
can you find a unifying language that cuts across age,年齢 収入 文化の垣根を越えて 人々を結びつける
would you please tell ?,だったら 言っていい?
what's real and what's an advertisement.,どれが広告なのか 見分けにくいことも多いですから
shared housing.,家を共有しているのに 近い感じ
"it was built, and they came.",「なせばなる」って
she could hurt somebody.,殺してしまうぞ
"well, because i just wanna leave my family a message real quick. if i could.",家族に別れのメッセージを残したいの
it would scare him straight.,怖がらせて 立ち直らせようとしたの
i understand that and i totally respect you.,リスペクトは理解している
"i'm sorry, it's just...",フェリシティ ごめんなさい ただ...
ashes to ashes...,灰から灰に
"look, i'm sorry if i made you angry.",なあ 怒らせたなら謝る
to a new age of symbiosis between our bodies,私たちの身体、我々が育てる微生物 製品そして建築物までもが
this is my resolve!,これが俺の覚悟だ!
the only problem with that scenario,病気のことは分かってる クレア
he has to live.,クリス・ホーキンスがここに住んでますね
what the ipod is to the 8track,ipodに対する8トラックであり
i'm serious.,いや~.
video games.,ビデオゲームだよ
congratulations to all of you.,皆さん おめでとうございます。
google the word 'israel.',「『イスラエル』って検索してみてよ」
how did you find them?,どうやって?
"i'm transfusing, but i would like to see a professional doctor",輸血をしてるんだ でも専門の医師に診せたい
"so this makes her the class representative, huh?",これで あいつがクラス代表か
i'm going to see to it that not a,藍染に聞いてみないことには。
we can take decisive steps to preserve our democratic institutions,このリスクを理解していれば 民主主義制度を守るための断固たる措置を取れます
somebody's circumcised. okay. listen.,とにかく 週末出勤してでも 月曜までに仕事を片付けろ
must've encountered various failures and tough times too.,いろいろな失敗や苦労が あったはずです。
i've already met four people,既に4人会ったわ
"yeah, that's pretty good. can you put some rocks in it?",ああ うまいな 氷を入れてくれないか?
please give me your hand.,手 出してください。
"i mean, don't you remember your birthday party when you were a little girl?",子どもの頃の誕生日会を 覚えてるだろ
"out the door! both of you, march!",さあ 2人とも行進よ
and he can't do.,で できなかった
"how little science knows, about building it.",私たちも 科学も ほとんど知らないことです
what about the color?,覚えてるよぐらい言いなさいよ
"henry, just go! go!",ヘンリー、行くのよ!
you have very tiny hands.,喜んで
this is on the way home.,これは帰り道で
because we don't get agerelated diseases until we're in middle age,中年まで老年性の病気にならないことから明らかなのです
i'm coming to get you.,今助けに行く
as in alcohol.,お酒よ
"they didn't get them, they were really angry.",皆 昇進を手にできず 心底怒ったのです
stands for work hard?,"""ハードワークはい ハードプレイはい? 。 ?"
l already ate. stopped at a steakhouse on the way.,お腹一杯だ ここに来る途中に食べてきた
and i gave her an assignment last summer to go around,家じゅうにある
kali at your own private table.,カリを あなたのテーブルに 呼んじゃいましょう
because it's painful to know.,知ってしまったら辛くなるから...
"yeah, lick my twat.",ええ おまんこなめて
"you destroyed me, mr. anderson.",私を破壊したのだ 君が
we shouldn't even be here.,居るべきじゃない...
i'll text you the address.,そこの住所を送るわ
that's all that made it through,最初の2文字
"while it's important to know your enemy's weakness, it's just as important to know your own.",敵の弱点を調べている間に 自分自身のことを 知ることも重要だ
"no, kyle! open the fucking door!",だめ、カイル!
creating the life narrative that we inherited.,語り継ぐべき人生の物語を紡いだのです
what does the right paw indicate?,右足だと どうなんだい?
there's no other way.,いやぁ まさか あんたに➡
this is really good!,うまい これ マジでうまい。 いいぞ ヒメコ殿。
in which women and children,女性と子どもたちが
what was misaka san 's story?,御坂さん お話って何でした
got to have a reason for that.,知りたい理由など無い
he's about to talk.,あいつ 色々話してくれるってよ。
thank you for having time for me!,時間を割いて頂き ありがとうございます ヒルデ・エンゲルについてです
"you pretend like love doesn't matter to you, when the truth is it's all you ever think about.",愛は重要じゃないと― そんなフリをしてるが いつも考えてる
"ah, yes...",ぎぃっ! あっ!ああ!
"since i'm the older brother, i don't want to disturb him.",だから 兄貴としては 弟の邪魔はできないっていうか
do you know where you're gonna go?,どこに行ったらいい?
wonderful!,素晴ら しい
there's blood evidence on the fuse you found,お前の見つけた信管から 微量だが血液反応が出た
it is...,忘れちまってるんだ
"well, that could be bullshit. one threw it out, and the other one picked up on it.",ガセかも みんなで見た気に...
but it's not like we didn't gain anything.,ですが 収穫はありました
"well, you can tell olive that no one found us.",じゃあオリーブに伝えて 捕まらないって
"hank, how much money is that?",いくら押収した?
but audacious is what has happened many times before in history.,しかし無謀さは過去の歴史に何度もあることです
that's why i wanna tell him how sincerely sorry i am.,そういう訳で本当に ごめんなさいと彼に伝えたいの
"before we do that, seike went to persuade him to surrender.",その前に 清家が 説得に向かった
"man, we're getting too old for this shit.",マン、私たちはこのたわごとのために 古すぎを得ている。
an energetic reaction,たくさんの大学の教授からの
don't call me. i'll call you.,電話しないでね、こっちから連絡する
what choice?,何が選択だ?
she pretended to trip and kicked me a few times.,偶然を装って 何回か 地味に蹴られました。
"well then ... ghost! go fast, but ....",じゃあ... ゴフッ! 早く行け。 しかし...。
scrapmetal scarecrow!,なにっ!? 「クズ鉄のかかし」!
for tutsi refugees in congo.,ツチ系難民の捕虜収容所
but there isn't.,でも それは無くなった
the only way to save the earth was for you to come here.,地球にもたらされた。
no outsider has ever been where you are. that makes you the first.,部外者は決して来られない 君が初めてだ
don't worry about stuff like that!,そんなこと気にするなって
we're the same!,同じだね
louis. what are you doing here?,ルイス ここで何を?
why does he need witnesses?,なぜ証人が必要なんだ?
i'm not sick. i love you. i did it for you.,狂ってない 君のためにやった
i've been busy so i spent the night here.,忙しかったから ここで1泊したの
so what brings,では異なった事業者を
i tell him about everything.,私の味方じゃないのか? 聞いた事を 告げてるの
evading your tail will only make things worse.,尾行から逃げるのは 事態を悪化させるだけだ
shikamaru: sakura is not far away.,《シカマル:サクラどころじゃねえ。
they've seen evie!,イービーを見られた!
too soon to say.,すぐにわかる
was that so...,そうなんだ
"i would link to my particular flight, my particular seat.",特定のフライトや座席にリンクするということです
so in other words?,それは つまり?
even be here anymore.,思い出すんです
that was a bad sunburn.,酷い日焼け
so cheer up.,元気出して
over parts of wasagee county.,ワサジー郡の一部上空では
what about you?,等我弄清楚了再告诉你
he bring words from the people who live that way.,あの方向に住む民からの知らせを持ってきた
the head trauma that put him in surgery three years ago could've triggered an early onset.,3年前の手術で頭部を傷つけて 早期発症の引き金になっていたかも
and how long has it been going on? and what does it mean?,どのくらい続き そして何を意味するのでしょうか?
okay. yeah.,分かった
i realize you're confused.,困惑しているのは分る
i need to earn a lot of money to succeed in life.,それが あいつと 子供のためになるって➡
"we had a daughter, and now we'r e getting a son!",息子まで出来て幸せだわ
i believe that yunboroid to be the .product of advanced technology.,あのユンボロイドは高い技術の産物だと感じます
and what were the patients doing?,で その患者らは何をしてたってんだ
but manmade disasters,人間の手による災禍であるように
"now you see again, this person has rejected",おわかりでしょう この人物は具体的な世界という―
"is exaggerated, overstated, it's not urgent",誇張され 過大評価されていたら? 実は 緊急性もなく
what are you doing?,なにシンクロしてんだ
should i just end it now?!,昼飯見つけたってばよ。
she just begged me to come have a sitdown with you.,是非あなたに 会いたいって
"like who's selling the ecstasy, for starters.",知ってたらいいんだけど そしたら
could have been a smaller faction just looking for some ransom money.,それはクダいくつ身代金のために見ているだけ小さな部分 'き。
but you will let me exterminate the termites,でも 駆除だけは さしてもらいますよ
preventing real online threats,「インターネットにおける経済的創造性への現実の脅威ならびに知的財産窃盗の予防」
"as am i, princess. as am i.",わしらの方こそ姫、こちらこそだ
i'm not envious of her at all...,卒業が全然決まってないやつの口から
the plan is we wait till...,そうだなまずは...
in the end everyone had been worried about you!,最後には みんな あんたのことを心配してた!
"we're trying to establish any connection we can with tillamook forest. did you or, uh, any of your family ever spend any time up there?",森との関連がないかを 調べています
they power our minds.,我々の心を動かしているわけです
it was amurosan.,楽しかったよ 青子。
but off i went,私は家の中に入って階段を上り
what's this?,ふざけんな この野郎!
we need you.,俺たちはお前が必要だ
team three headed upstairs.,チーム3が上の階に向かった
but a vehicle where a blind person can make active decisions and drive.,視覚障害者が自ら判断し運転できる車だったのです
"by any chance, were you trying to back me up?",もしかして それって 私をフォローしようとしてんの?
"you know, my father was a teacher.",教師になる前に
"oh, it's okay, little baby, don't cry.",ああ ああ 大丈夫だ 坊や 泣くな
"god. i come on, and i say, here's a funny story. you'll like this.",君が気に入る 面白い話をしに来たんだ
"all that said, there is one person in the entire world right now",と言ったものの この世に1人だけ
that get forgotten or missed,チェックをしないと 忘れられたり見逃される
when are you going to arrive?,いつ頃 こっちに着きそう?
"i understand, dear, i've got a hip.",わかるわ。 私のお尻もそうですから。
"thought maybe you could run it through your system, that is if you're still open to other options.",他にも容疑者を探すなら 指紋照合をしてみれば?
"or because, somehow",なぜか8年前よりも
of course i remember you. what a surprise.,もちろん忘れないてないわ なんて驚き...
"okay, roll her back.",戻して
seriously?,全然マジなんかじゃない
"did, did the, did the life that was growing inside you die?",あなたが育てた子が 死んだの?
i know that fear very well.,そんな恐ろしさを 私は よく知っています
just pray that the wind of maldives...,モルディブの風で私がクールになるように祈ってな
my name is mechya mochiyucky.,私 名前はメチャ・モチマッヅィと申します
maybe danny is sleeping with turbo and seduced him into shooting elliot so he would have nobody running against him.,ダニー候補がターボと関係があって エリオット撃つよう仕向けたとか
that original transporter took a full minute and a half to cycle through.,最初のものは転送完了まで1分半もかかった
mycorrhiza has existed for 450 million years,菌根は4億5000年前から存在し
someone's coming!,誰か来る!
it's my issue i believe.,私の問題だと思うから。
"oh,come on! you never overheard one conversation,one argument about what's locked up in there?",同じ船で生活してて 噂一つ耳に入らなかったと?
he's still here.,変わらずここにいる
even though it is high point that it is always serious and hard,いつでも真面目で一生懸命なのもポイント高いけど
i need to know that he can do it again,もう一度それをできるか知りたいんだ
"very well, thank you.",ありがとう
"and you know the reason why, of course.",当然理由は分かっていますね
what are you doing?,何してるんだ? - 投資だよ
beat up on her side way more often,銃を持った人種差別主義者と評して
the fire!,火は 風を受けると➡
may i have a word? yeah.,ちょっと話してもいい?
of living people,遺伝子を研究して
to get you tortilla chips?,トルティーヤ・チップスを 頼んでるの?
until our joints quite literally grind to a halt.,ついに関節が動かなくなることもあるのだ
should we do something?,なんかしましょうか
"i will drive an arrow through his eye. welcome to st. walker's, alderman.",私は彼の目を矢で貫く 聖ウォーカーへようこそ 市会議員
i traveled around the world over a fouryear period,4年間 世界中を旅して
i hear you be recruiting a crew.,乗務員を募集しているらしい.
"yeah, i guess.",さあ
"in terms of the other self, the remembering self",違う内容になります
search over there!,金木君 去探望下她吧
"no matter how far i go, my past will always haunt me.",どこまで逃げても過去は追ってくる
"hi, my name is vicki nelson.",ヴィッキー·ネルソンといいます
remember!,思い出せ 一護!
the truth... that's a lot to take in.,真実か... 重すぎる
"that kind of themepark would be innovative and new, right?",どうよえ? そんなテーマパーク 聞いたことないし 新しいやろ?
